#FORMAT=Datasaur TSV 3

#Text=Kali ini CNN Living menilik rumah asri bernuansa kayu yang dikelilingi oleh alam di tengah ibukota Jakarta .
1-1	0-4	Kali	_	_	_	_	_
1-2	5-8	ini	_	_	_	_	_
1-3	9-12	CNN	_	_	_	_	_
1-4	13-19	Living	_	_	_	_	_
1-5	20-27	menilik	_	_	_	_	_
1-6	28-33	rumah	_	_	_	_	_
1-7	34-38	asri	_	_	_	_	_
1-8	39-48	bernuansa	_	_	_	_	_
1-9	49-53	kayu	_	_	_	_	_
1-10	54-58	yang	_	_	_	_	_
1-11	59-70	dikelilingi	_	_	_	_	_
1-12	71-75	oleh	_	_	_	_	_
1-13	76-80	alam	_	_	_	_	_
1-14	81-83	di	_	_	_	_	_
1-15	84-90	tengah	_	_	_	_	_
1-16	91-98	ibukota	_	_	_	_	_
1-17	99-106	Jakarta	_	_	_	_	_
1-18	107-108	.	_	_	_	_	_

#Text=Jenuh dengan hiruk pikuk kota , seorang arsitek membangun rumah idaman nya yang mengusung konsep indoor outdoor .
2-1	110-115	Jenuh	_	_	_	_	_
2-2	116-122	dengan	_	_	_	_	_
2-3	123-128	hiruk	_	_	_	_	_
2-4	129-134	pikuk	_	_	_	_	_
2-5	135-139	kota	_	_	_	_	_
2-6	140-141	,	_	_	_	_	_
2-7	142-149	seorang	_	_	_	_	_
2-8	150-157	arsitek	_	_	_	_	_
2-9	158-167	membangun	_	_	_	_	_
2-10	168-173	rumah	_	_	_	_	_
2-11	174-180	idaman	_	_	_	_	_
2-12	181-184	nya	_	_	_	_	_
2-13	185-189	yang	_	_	_	_	_
2-14	190-199	mengusung	_	_	_	_	_
2-15	200-206	konsep	_	_	_	_	_
2-16	207-213	indoor	_	_	_	_	_
2-17	214-221	outdoor	_	_	_	_	_
2-18	222-223	.	_	_	_	_	_

#Text=Penasaran ?
3-1	225-234	Penasaran	_	_	_	_	_
3-2	235-236	?	_	_	_	_	_

#Text=.
4-1	238-239	.	_	_	_	_	_

#Text=Berikut produser lapangan CNN Living Carmel Moersalim dengan liputan nya .
5-1	241-248	Berikut	_	_	_	_	_
5-2	249-257	produser	_	_	_	_	_
5-3	258-266	lapangan	_	_	_	_	_
5-4	267-270	CNN	_	_	_	_	_
5-5	271-277	Living	_	_	_	_	_
5-6	278-284	Carmel	_	_	_	_	_
5-7	285-294	Moersalim	_	_	_	_	_
5-8	295-301	dengan	_	_	_	_	_
5-9	302-309	liputan	_	_	_	_	_
5-10	310-313	nya	_	_	_	_	_
5-11	314-315	.	_	_	_	_	_

