#FORMAT=Datasaur TSV 3

#Text=Bioskop Trans TV pekan ini bakal menayangkan dua film yang premier tayang pertama kali di layar kaca Indonesia : Wonder Woman dan Birdman .
1-1	0-7	Bioskop	_	_	_	_	_
1-2	8-13	Trans	_	_	_	_	_
1-3	14-16	TV	_	_	_	_	_
1-4	17-22	pekan	_	_	_	_	_
1-5	23-26	ini	_	_	_	_	_
1-6	27-32	bakal	_	_	_	_	_
1-7	33-44	menayangkan	_	_	_	_	_
1-8	45-48	dua	_	_	_	_	_
1-9	49-53	film	_	_	_	_	_
1-10	54-58	yang	_	_	_	_	_
1-11	59-66	premier	_	_	_	_	_
1-12	67-73	tayang	_	_	_	_	_
1-13	74-81	pertama	_	_	_	_	_
1-14	82-86	kali	_	_	_	_	_
1-15	87-89	di	_	_	_	_	_
1-16	90-95	layar	_	_	_	_	_
1-17	96-100	kaca	_	_	_	_	_
1-18	101-110	Indonesia	_	_	_	_	_
1-19	111-112	:	_	_	_	_	_
1-20	113-119	Wonder	_	_	_	_	_
1-21	120-125	Woman	_	_	_	_	_
1-22	126-129	dan	_	_	_	_	_
1-23	130-137	Birdman	_	_	_	_	_
1-24	138-139	.	_	_	_	_	_

#Text=Wonder Woman ( 2017 ) yang dibintangi Gal Gadot bakal tayang pada 1 Februari 2022 , bertepatan dengan perayaan Imlek 2022 .
2-1	141-147	Wonder	_	_	_	_	_
2-2	148-153	Woman	_	_	_	_	_
2-3	154-155	(	_	_	_	_	_
2-4	156-160	2017	_	_	_	_	_
2-5	161-162	)	_	_	_	_	_
2-6	163-167	yang	_	_	_	_	_
2-7	168-178	dibintangi	_	_	_	_	_
2-8	179-182	Gal	_	_	_	_	_
2-9	183-188	Gadot	_	_	_	_	_
2-10	189-194	bakal	_	_	_	_	_
2-11	195-201	tayang	_	_	_	_	_
2-12	202-206	pada	_	_	_	_	_
2-13	207-208	1	_	_	_	_	_
2-14	209-217	Februari	_	_	_	_	_
2-15	218-222	2022	_	_	_	_	_
2-16	223-224	,	_	_	_	_	_
2-17	225-235	bertepatan	_	_	_	_	_
2-18	236-242	dengan	_	_	_	_	_
